"OHD08LAM.Code.or.Value","OHD08LAM.Value.Description","OHD08LAM.Count","OHD08LAM.Cumulative","OHD08LAM.Skip.to.Item"
"0 to 8","Range of Values",1527,1527,NA
"99","Calculation cannot be determined",264,1791,NA
".","Missing",4967,6758,NA
