"OPDDEXC.Code.or.Value","OPDDEXC.Value.Description","OPDDEXC.Count","OPDDEXC.Cumulative","OPDDEXC.Skip.to.Item"
"0","No",177,177,NA
"1","Yes",58,235,NA
"2","Maybe",58,293,NA
"3","Ungradable",9,302,NA
".","Missing",2632,2934,NA
