"LBDHDL.Code.or.Value","LBDHDL.Value.Description","LBDHDL.Count","LBDHDL.Cumulative","LBDHDL.Skip.to.Item"
"8 to 138","Range of Values",7424,7424,NA
".","Missing",920,8344,NA
