"WTSCI40.Code.or.Value","WTSCI40.Value.Description","WTSCI40.Count","WTSCI40.Cumulative","WTSCI40.Skip.to.Item"
"0 to 454517.7844","Range of Values",727,727,NA
".","Missing",51,778,NA
