"VTQ280D.Code.or.Value","VTQ280D.Value.Description","VTQ280D.Count","VTQ280D.Cumulative","VTQ280D.Skip.to.Item"
"1","Yes",97,97,NA
"2","No",3237,3334,NA
"7","Refused",0,3334,NA
"9","Don't know",3,3337,NA
".","Missing",408,3745,NA
