"URDDAZLC.Code.or.Value","URDDAZLC.Value.Description","URDDAZLC.Count","URDDAZLC.Cumulative","URDDAZLC.Skip.to.Item"
"0","At or above the detection limit",2527,2527,NA
"1","Below lower detection limit",1,2528,NA
".","Missing",110,2638,NA
