"LBDPFL.Code.or.Value","LBDPFL.Value.Description","LBDPFL.Count","LBDPFL.Cumulative","LBDPFL.Skip.to.Item"
"0.18 to 16.67","Range of Values",2325,2325,NA
".","Missing",378,2703,NA
