"WTIREP16.Code.or.Value","WTIREP16.Value.Description","WTIREP16.Count","WTIREP16.Cumulative","WTIREP16.Skip.to.Item"
"0 to 241051.95876","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
