"DS2TVD.Code.or.Value","DS2TVD.Value.Description","DS2TVD.Count","DS2TVD.Cumulative","DS2TVD.Skip.to.Item"
"0.5 to 1265","Range of Values",1902,1902,NA
".","Missing",7860,9762,NA
