"URXP06.Code.or.Value","URXP06.Value.Description","URXP06.Count","URXP06.Cumulative","URXP06.Skip.to.Item"
"5.5 to 6330.3","Range of Values",2608,2608,NA
".","Missing",110,2718,NA
