"PUD031.Code.or.Value","PUD031.Value.Description","PUD031.Count","PUD031.Cumulative","PUD031.Skip.to.Item"
"1","Yes",1281,1281,""
"2","No",661,1942,"PUD033"
".","Missing",9097,11039,""
