"URXMHNC.Code.or.Value","URXMHNC.Value.Description","URXMHNC.Count","URXMHNC.Cumulative","URXMHNC.Skip.to.Item"
"0.28 to 511","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
