"CVQ220l.Code.or.Value","CVQ220l.Value.Description","CVQ220l.Count","CVQ220l.Cumulative","CVQ220l.Skip.to.Item"
"1","Yes",41,41,NA
"2","No",491,532,NA
".","Missing",4070,4602,NA
