"PHDSESN.Code.or.Value","PHDSESN.Value.Description","PHDSESN.Count","PHDSESN.Cumulative","PHDSESN.Skip.to.Item"
"0","morning",3818,3818,NA
"1","afternoon",3153,6971,NA
"2","evening",1395,8366,NA
".","Missing",0,8366,NA
