"SPXNFEV7.Code.or.Value","SPXNFEV7.Value.Description","SPXNFEV7.Count","SPXNFEV7.Cumulative","SPXNFEV7.Skip.to.Item"
"595 to 5930","Range of Values",7079,7079,NA
".","Missing",1116,8195,NA
