"URDCB3LC.Code.or.Value","URDCB3LC.Value.Description","URDCB3LC.Count","URDCB3LC.Cumulative","URDCB3LC.Skip.to.Item"
"0","At or above the detection limit",38,38,NA
"1","Below lower detection limit",2545,2583,NA
".","Missing",111,2694,NA
