"PAXMTSD.Code.or.Value","PAXMTSD.Value.Description","PAXMTSD.Count","PAXMTSD.Cumulative","PAXMTSD.Skip.to.Item"
"0 to 44942.093","Range of Values",69018,69018,NA
".","Missing",0,69018,NA
