"HSQ490.Code.or.Value","HSQ490.Value.Description","HSQ490.Count","HSQ490.Cumulative","HSQ490.Skip.to.Item"
"0 to 30","Range of Values",6426,6426,NA
"77","Refused",0,6426,NA
"99","Don't know",2,6428,NA
".","Missing",3107,9535,NA
