"DR2IPFAT.Code.or.Value","DR2IPFAT.Value.Description","DR2IPFAT.Count","DR2IPFAT.Cumulative","DR2IPFAT.Skip.to.Item"
"0 to 64.941","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
