"DSQICOPP.Code.or.Value","DSQICOPP.Value.Description","DSQICOPP.Count","DSQICOPP.Cumulative","DSQICOPP.Skip.to.Item"
"0.00374 to 40","Range of Values",2076,2076,NA
".","Missing",6324,8400,NA
