"DXXTRA.Code.or.Value","DXXTRA.Value.Description","DXXTRA.Count","DXXTRA.Cumulative","DXXTRA.Skip.to.Item"
"2.82 to 19.2","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
