"SMQ150.Code.or.Value","SMQ150.Value.Description","SMQ150.Count","SMQ150.Cumulative","SMQ150.Skip.to.Item"
"1","Yes",582,582,""
"2","No",4287,4869,"SMQ180"
"7","Refused",4,4873,"SMQ180"
"9","Don't know",4,4877,"SMQ180"
".","Missing",3,4880,""
