"MCQ240x.Code.or.Value","MCQ240x.Value.Description","MCQ240x.Count","MCQ240x.Cumulative","MCQ240x.Skip.to.Item"
"31 to 78","Range of Values",33,33,NA
"80","80 years or older",4,37,NA
"77777","Refused",0,37,NA
"99999","Don't know",1,38,NA
".","Missing",9326,9364,NA
