"URDPHELC.Code.or.Value","URDPHELC.Value.Description","URDPHELC.Count","URDPHELC.Cumulative","URDPHELC.Skip.to.Item"
"0","At or above the detection limit",1370,1370,NA
"1","Below lower detection limit",936,2306,NA
".","Missing",156,2462,NA
