"LBXTGN.Code.or.Value","LBXTGN.Value.Description","LBXTGN.Count","LBXTGN.Cumulative","LBXTGN.Skip.to.Item"
"0.07 to 395.21","Range of Values",1966,1966,NA
".","Missing",211,2177,NA
