"OSQ120g.Code.or.Value","OSQ120g.Value.Description","OSQ120g.Count","OSQ120g.Cumulative","OSQ120g.Skip.to.Item"
"1","Yes",10,10,""
"2","No",1,11,"OSQ060"
"7","Refused",0,11,"OSQ060"
"9","Don't know",1,12,"OSQ060"
".","Missing",3057,3069,""
