"CVDEXCL4.Code.or.Value","CVDEXCL4.Value.Description","CVDEXCL4.Count","CVDEXCL4.Cumulative","CVDEXCL4.Skip.to.Item"
"1","Yes",136,136,NA
"2","No",818,954,NA
".","Missing",4198,5152,NA
