"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"1 to 133","Range of Values",2997,2997,NA
"77777","Refused",2,2999,NA
"99999","Don't know",1,3000,NA
".","Missing",3175,6175,NA
