"BIXC011K.Code.or.Value","BIXC011K.Value.Description","BIXC011K.Count","BIXC011K.Cumulative","BIXC011K.Skip.to.Item"
"16.06 to 187.39","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
