"DUQ270Q.Code.or.Value","DUQ270Q.Value.Description","DUQ270Q.Count","DUQ270Q.Cumulative","DUQ270Q.Skip.to.Item"
"0 to 154","Range of Values",519,519,NA
"7777","Refused",1,520,NA
"9999","Don't know",0,520,NA
".","Missing",4323,4843,NA
