"MGQ080.Code.or.Value","MGQ080.Value.Description","MGQ080.Count","MGQ080.Cumulative","MGQ080.Skip.to.Item"
"1","Yes",437,437,NA
"2","No",157,594,NA
"7","Refused",0,594,NA
"9","Don't know",218,812,NA
".","Missing",7009,7821,NA
