"DIQ040G.Code.or.Value","DIQ040G.Value.Description","DIQ040G.Count","DIQ040G.Cumulative","DIQ040G.Skip.to.Item"
"1","Enter number",475,475,NA
"2","Less than 1 year",13,488,NA
"7","Refused",0,488,NA
"9","Don't know",1,489,NA
".","Missing",9004,9493,NA
