"MCQ260AG.Code.or.Value","MCQ260AG.Value.Description","MCQ260AG.Count","MCQ260AG.Cumulative","MCQ260AG.Skip.to.Item"
"7","Brother",385,385,"MCQ250B"
".","Missing",10085,10470,""
