"WHQ510H.Code.or.Value","WHQ510H.Value.Description","WHQ510H.Count","WHQ510H.Cumulative","WHQ510H.Skip.to.Item"
"17","My friends are trying to lose weight",10,10,NA
".","Missing",1417,1427,NA
