"URX4FP.Code.or.Value","URX4FP.Value.Description","URX4FP.Count","URX4FP.Cumulative","URX4FP.Skip.to.Item"
"0.14 to 20.36","Range of Values",3048,3048,NA
".","Missing",104,3152,NA
