"DSQTZINC.Code.or.Value","DSQTZINC.Value.Description","DSQTZINC.Count","DSQTZINC.Cumulative","DSQTZINC.Skip.to.Item"
"0.02 to 160","Range of Values",2477,2477,NA
".","Missing",7698,10175,NA
