"MCQ245B.Code.or.Value","MCQ245B.Value.Description","MCQ245B.Count","MCQ245B.Cumulative","MCQ245B.Skip.to.Item"
"0 to 365","Range of Values",3469,3469,NA
"77777","Refused",0,3469,NA
"99999","Don't know",1,3470,NA
".","Missing",6023,9493,NA
