"DR1IS060.Code.or.Value","DR1IS060.Value.Description","DR1IS060.Count","DR1IS060.Cumulative","DR1IS060.Skip.to.Item"
"0 to 2.476","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
