"BPQ080.Code.or.Value","BPQ080.Value.Description","BPQ080.Count","BPQ080.Cumulative","BPQ080.Skip.to.Item"
"1","Yes",1875,1875,""
"2","No",2449,4324,"End of Section"
"7","Refused",0,4324,"End of Section"
"9","Don't know",34,4358,"End of Section"
".","Missing",2531,6889,""
