"DR1IB12A.Code.or.Value","DR1IB12A.Value.Description","DR1IB12A.Count","DR1IB12A.Cumulative","DR1IB12A.Skip.to.Item"
"0 to 26.94","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
