"DR2IS180.Code.or.Value","DR2IS180.Value.Description","DR2IS180.Count","DR2IS180.Cumulative","DR2IS180.Skip.to.Item"
"0 to 28.433","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
