"DRD350G.Code.or.Value","DRD350G.Value.Description","DRD350G.Count","DRD350G.Cumulative","DRD350G.Skip.to.Item"
"1","Yes",309,309,""
"2","No",3450,3759,"DRD350H"
".","Missing",6003,9762,""
