"DR1ISODI.Code.or.Value","DR1ISODI.Value.Description","DR1ISODI.Count","DR1ISODI.Cumulative","DR1ISODI.Skip.to.Item"
"0 to 11204","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
