"LBXHGB.Code.or.Value","LBXHGB.Value.Description","LBXHGB.Count","LBXHGB.Cumulative","LBXHGB.Skip.to.Item"
"6.2 to 19.2","Range of Values",8384,8384,NA
".","Missing",795,9179,NA
