"LBXCOT.Code.or.Value","LBXCOT.Value.Description","LBXCOT.Count","LBXCOT.Cumulative","LBXCOT.Skip.to.Item"
"0.011 to 1620","Range of Values",7101,7101,NA
".","Missing",835,7936,NA
