"DR2TATOA.Code.or.Value","DR2TATOA.Value.Description","DR2TATOA.Count","DR2TATOA.Cumulative","DR2TATOA.Skip.to.Item"
"0 to 70.38","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
