"URDTCVLC.Code.or.Value","URDTCVLC.Value.Description","URDTCVLC.Count","URDTCVLC.Cumulative","URDTCVLC.Skip.to.Item"
"0","At or above the detection limit",2,2,NA
"1","Below lower detection limit",3167,3169,NA
".","Missing",148,3317,NA
