"DXDTOBMC.Code.or.Value","DXDTOBMC.Value.Description","DXDTOBMC.Count","DXDTOBMC.Cumulative","DXDTOBMC.Skip.to.Item"
"650.36 to 4585.87","Range of Values",3669,3669,NA
".","Missing",1445,5114,NA
