"DS1IZINC.Code.or.Value","DS1IZINC.Value.Description","DS1IZINC.Count","DS1IZINC.Cumulative","DS1IZINC.Skip.to.Item"
"0.02 to 100","Range of Values",1507,1507,NA
".","Missing",3863,5370,NA
