"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"16 to 3281","Range of Values",6373,6373,NA
".","Missing",544,6917,NA
