"DCD070A.Code.or.Value","DCD070A.Value.Description","DCD070A.Count","DCD070A.Cumulative","DCD070A.Skip.to.Item"
"1","Yes",1060,1060,NA
"2","No",197,1257,NA
".","Missing",73,1330,NA
