"DS2AN.Code.or.Value","DS2AN.Value.Description","DS2AN.Count","DS2AN.Cumulative","DS2AN.Skip.to.Item"
"1","Yes",118,118,NA
"2","No",7478,7596,NA
"7","Refused",0,7596,NA
"9","Don't know",0,7596,NA
".","Missing",1742,9338,NA
