"CDQ002.Code.or.Value","CDQ002.Value.Description","CDQ002.Count","CDQ002.Cumulative","CDQ002.Skip.to.Item"
"1","Yes",260,260,""
"2","No",537,797,"CDQ008"
"3","Never walks uphill or hurries",53,850,""
"7","Refused",0,850,"CDQ008"
"9","Don't know",8,858,"CDQ008"
".","Missing",2745,3603,""
