"MCQ365c.Code.or.Value","MCQ365c.Value.Description","MCQ365c.Count","MCQ365c.Cumulative","MCQ365c.Skip.to.Item"
"1","Yes",1580,1580,NA
"2","No",4589,6169,NA
"7","Refused",1,6170,NA
"9","Don't know",4,6174,NA
".","Missing",3190,9364,NA
