"DXXL4A.Code.or.Value","DXXL4A.Value.Description","DXXL4A.Count","DXXL4A.Cumulative","DXXL4A.Skip.to.Item"
"7.79 to 30.32","Range of Values",6336,6336,NA
".","Missing",1849,8185,NA
