"LBXVHE.Code.or.Value","LBXVHE.Value.Description","LBXVHE.Count","LBXVHE.Cumulative","LBXVHE.Skip.to.Item"
"0.0078 to 0.0078","Range of Values",1366,1366,NA
".","Missing",123,1489,NA
