"ARD125A.Code.or.Value","ARD125A.Value.Description","ARD125A.Count","ARD125A.Cumulative","ARD125A.Skip.to.Item"
"1","Yes",27,27,NA
"2","No",5060,5087,NA
"7","Refused",1,5088,NA
"9","Don't know",18,5106,NA
".","Missing",0,5106,NA
