"DS2TVC.Code.or.Value","DS2TVC.Value.Description","DS2TVC.Count","DS2TVC.Cumulative","DS2TVC.Skip.to.Item"
"0.017 to 5900","Range of Values",1635,1635,NA
".","Missing",7909,9544,NA
