"LBX195LA.Code.or.Value","LBX195LA.Value.Description","LBX195LA.Count","LBX195LA.Cumulative","LBX195LA.Skip.to.Item"
"1.5 to 26.2","Range of Values",2230,2230,NA
".","Missing",317,2547,NA
