"DEQ1BPFO.Code.or.Value","DEQ1BPFO.Value.Description","DEQ1BPFO.Count","DEQ1BPFO.Cumulative","DEQ1BPFO.Skip.to.Item"
"1","Present",26,26,NA
".","Missing",2966,2992,NA
