"FSD032E.Code.or.Value","FSD032E.Value.Description","FSD032E.Count","FSD032E.Cumulative","FSD032E.Skip.to.Item"
"1","Often true",149,149,NA
"2","Sometimes true",589,738,NA
"3","Never true",5980,6718,NA
"7","Refused",13,6731,NA
"9","Don't know",19,6750,NA
".","Missing",3787,10537,NA
