"LBDTCDLC.Code.or.Value","LBDTCDLC.Value.Description","LBDTCDLC.Count","LBDTCDLC.Cumulative","LBDTCDLC.Skip.to.Item"
"0","detectable result",691,691,NA
"1","below detectable limit",1185,1876,NA
".","Missing",409,2285,NA
