"LBXS16MK.Code.or.Value","LBXS16MK.Value.Description","LBXS16MK.Count","LBXS16MK.Cumulative","LBXS16MK.Skip.to.Item"
"1","Positive",338,338,NA
"2","Negative",2954,3292,NA
".","Missing",261,3553,NA
