"AUXU500L.Code.or.Value","AUXU500L.Value.Description","AUXU500L.Count","AUXU500L.Cumulative","AUXU500L.Skip.to.Item"
"-10 to 120","Range of Values",2732,2732,NA
"666","No response",0,2732,NA
"888","Could not obtain",13,2745,NA
".","Missing",289,3034,NA
